sim_time,veh_id,type,edge,lane,lane_pos,x,y,speed,accel,angle,route_id,leader_id,gap_to_leader
6.2,veh_9,car,A0_A1,A0_A1_1,13.56,13.56,204.8,14.979,0.699,90.0,east_main,veh_1,67.469
6.4,veh_1,car,A0_A1,A0_A1_1,91.01,91.01,204.8,14.898,-0.193,90.0,east_main,,
6.4,veh_10,mtw,S2N_A2,S2N_A2_0,4.04,601.6,395.96,8.695,-0.403,180.0,north2west,veh_8,8.141
6.4,veh_2,auto,S2N_A2,S2N_A2_0,53.04,601.6,346.96,9.318,0.015,180.0,north2west,,
6.4,veh_3,car,S4N_A4,S4N_A4_0,48.69,1201.6,351.31,9.973,0.243,180.0,north4east,,
6.4,veh_4,car,S4N_A4,S4N_A4_0,35.08,1201.6,364.92,8.955,-0.346,180.0,north4east,veh_3,6.615
6.4,veh_5,bus,S2S_A2,S2S_A2_0,43.95,598.4,43.95,9.982,0.054,0.0,south2east,,
6.4,veh_6,bus,S4N_A4,S4N_A4_0,22.01,1201.6,377.99,6.707,0.757,180.0,north4east,veh_4,6.064
6.4,veh_7,car,S4N_A4,S4N_A4_0,6.2,1201.6,393.8,4.075,0.874,180.0,north4east,veh_6,1.319
6.4,veh_8,truck,S2N_A2,S2N_A2_0,22.68,601.6,377.32,9.081,-0.106,180.0,north2west,veh_2,24.855
6.4,veh_9,car,A0_A1,A0_A1_1,16.55,16.55,204.8,14.959,-0.104,90.0,east_main,veh_1,67.457
6.6,veh_1,car,A0_A1,A0_A1_1,93.99,93.99,204.8,14.931,0.164,90.0,east_main,,
6.6,veh_10,mtw,S2N_A2,S2N_A2_0,5.73,601.6,394.27,8.455,-1.199,180.0,north2west,veh_8,8.278
6.6,veh_2,auto,S2N_A2,S2N_A2_0,54.87,601.6,345.13,9.193,-0.624,180.0,north2west,,
6.6,veh_3,car,S4N_A4,S4N_A4_0,50.7,1201.6,349.3,10.025,0.261,180.0,north4east,,
6.6,veh_4,car,S4N_A4,S4N_A4_0,36.88,1201.6,363.12,9.015,0.299,180.0,north4east,veh_3,6.817
6.6,veh_5,bus,S2S_A2,S2S_A2_0,45.94,598.4,45.94,9.927,-0.273,0.0,south2east,,
6.6,veh_6,bus,S4N_A4,S4N_A4_0,23.38,1201.6,376.62,6.839,0.661,180.0,north4east,veh_4,6.499
6.6,veh_7,car,S4N_A4,S4N_A4_0,7.06,1201.6,392.94,4.323,1.241,180.0,north4east,veh_6,1.822
6.6,veh_8,truck,S2N_A2,S2N_A2_0,24.51,601.6,375.49,9.139,0.293,180.0,north2west,veh_2,24.866
6.6,veh_9,car,A0_A1,A0_A1_1,19.52,19.52,204.8,14.839,-0.599,90.0,east_main,veh_1,67.475
6.8,veh_1,car,A0_A1,A0_A1_1,96.97,96.97,204.8,14.884,-0.231,90.0,east_main,,
6.8,veh_10,mtw,S2N_A2,S2N_A2_0,7.44,601.6,392.56,8.538,0.415,180.0,north2west,veh_8,8.387
6.8,veh_11,auto,A5_A4,A5_A4_1,3.1,1496.9,195.5,13.0,0.0,270.0,west_main,,
6.8,veh_2,auto,S2N_A2,S2N_A2_0,56.72,601.6,343.28,9.212,0.091,180.0,north2west,,
6.8,veh_3,car,S4N_A4,S4N_A4_0,52.7,1201.6,347.3,10.036,0.052,180.0,north4east,,
6.8,veh_4,car,S4N_A4,S4N_A4_0,38.71,1201.6,361.29,9.166,0.753,180.0,north4east,veh_3,6.991
6.8,veh_5,bus,S2S_A2,S2S_A2_0,47.93,598.4,47.93,9.98,0.261,0.0,south2east,,
6.8,veh_6,bus,S4N_A4,S4N_A4_0,24.78,1201.6,375.22,6.994,0.771,180.0,north4east,veh_4,6.933
6.8,veh_7,car,S4N_A4,S4N_A4_0,7.97,1201.6,392.03,4.538,1.074,180.0,north4east,veh_6,2.313
